group_id,timeslot_id,subject_id,teacher_id,room_id
G2,27,30000-1501,T02,R6204
G2,28,30001-1001,T09,R6201
G2,30,31901-2009,T05,R6402
G2,32,30000-1501,T02,R5203
G2,34,30000-1202,T06,R5204
G2,37,31901-2017,T07,R10401
G2,38,31901-2009,T04,R6205
G2,39,31901-2006,T03,R5204
G2,42,31901-2017,T07,R5203
G2,44,30001-1001,T09,R6302
G2,45,31901-2013,T08,R6303
G2,46,31901-2002,T01,R6302
G2,50,31901-2006,T03,R5201
G2,51,31901-2006,T03,R5306
G2,52,31901-2013,T08,R6404
G2,54,31901-2017,T07,R5306
G2,55,31901-2013,T08,R6203
G2,56,31901-2013,T08,R5306
G2,57,30000-1202,T06,Rท่าลี่อ
G2,58,31901-2002,T01,R5306
G3,1,31901-2005,T03,R5203
G3,2,31901-2012,T07,R6303
G3,3,31901-2005,T03,R6303
G3,6,30000-2002,T13,R6402
G3,7,31901-2012,T07,R6303
G3,8,30000-1201,T10,R6205
G3,13,31901-2007,T01,R10401
G3,14,31901-2007,T01,R10401
G3,15,31901-2007,T01,R6403
G3,16,30001-1002,T12,R5105
G3,18,31901-2005,T03,R5406
G3,20,30000-1404,T11,R6403
G3,22,31901-2007,T01,R5406
G3,30,30001-1003,T07,R6403
G3,31,30001-1002,T12,R5406
G3,33,31901-2007,T01,R6204
G3,34,30001-1003,T07,R5105
G3,38,31901-2012,T07,R6404
G3,39,30001-1003,T07,R6404
G3,40,31901-2005,T08,R6204
G3,42,30000-1201,T10,R6404
G3,45,30001-1002,T12,R5105
G3,46,31901-2012,T07,R5406
G3,49,30000-1201,T10,Rท่าลี่อ
G3,50,30000-2002,T13,R5204
G3,52,30000-1404,T11,R6201
G3,54,31901-2005,T08,R6404
G3,55,30000-1404,T11,R5203
G3,57,31901-2012,T04,R6203
G3,58,30001-1003,T07,R6201
G4,2,31901-2005,T03,R5201
G4,6,30001-1002,T12,R5203
G4,7,30000-2002,T04,R6302
G4,8,31901-2012,T04,R5201
G4,9,30001-1003,T07,Rท่าลี่อ
G4,10,31901-2005,T08,Rท่าลี่อ
G4,13,30000-1404,T11,R6403
G4,14,30000-1404,T11,R6204
G4,15,30001-1002,T12,R6204
G4,16,30001-1003,T07,R6205
G4,18,31901-2007,T01,R6404
G4,20,30000-1201,T10,R5402
G4,22,30000-1404,T11,R6302
G4,27,31901-2005,T08,R5406
G4,28,30001-1002,T12,R5204
G4,31,30001-1003,T07,R5204
G4,32,31901-2005,T03,R6301
G4,33,31901-2012,T04,R5203
G4,34,31901-2007,T01,R6204
G4,37,31901-2007,T01,R6201
G4,39,31901-2007,T01,R6405
G4,43,30000-2002,T04,R6403
G4,44,30000-1201,T10,R5306
G4,45,31901-2012,T07,R5402
G4,46,31901-2012,T04,R5306
G4,49,30001-1003,T07,R5204
G4,50,30000-1201,T10,R5306
G4,51,31901-2012,T04,R5402
G4,54,31901-2007,T01,R5402
G4,55,31901-2005,T03,R6204
G5,1,31900-1002,T04,R6204
G5,2,31900-1002,T04,R5306
G5,3,30001-1002,T12,R5204
G5,4,31900-1002,T04,R6403
G5,8,31900-0004,T01,R6404
G5,9,30000-2002,T01,R6404
G5,10,30001-1002,T12,R5402
G5,14,31901-2005,T08,R6404
G5,16,30000-1201,T10,R6204
G5,18,30001-1002,T12,R6301
G5,19,31900-0001,T07,R5101
G5,20,31900-0001,T07,R6204
G5,22,31901-2012,T07,R6301
G5,25,31900-0001,T07,R6203
G5,26,31900-0001,T07,R5406
G5,27,31900-1001,T07,R6303
G5,28,31900-0004,T01,R5201
G5,30,30000-1404,T11,Rท่าลี่อ
G5,31,30000-2002,T13,R6204
G5,32,30000-1201,T10,R5105
G5,33,31901-2012,T07,R6402
G5,38,31901-2005,T08,R5402
G5,39,30000-1404,T11,R6201
G5,40,31901-2012,T04,R5204
G5,42,31901-2005,T03,R6405
G5,43,31900-0001,T07,R5204
G5,44,31901-2005,T03,R5201
G5,45,30000-1201,T10,R6402
G5,46,31901-2005,T08,R6405
G5,50,30000-1404,T11,R6204
G5,51,31900-0004,T01,R6402
G5,55,31900-0004,T01,R5402
G5,56,31900-0004,T01,R5201
G5,57,31901-2012,T07,R6403
G5,58,31901-2012,T04,R5401
G6,3,20901-2007,T18,R10401
G6,4,20001-1003,T15,R6302
G6,7,20901-2007,T18,R5204
G6,15,20901-2106,T05,R10401
G6,18,20001-1003,T15,R6405
G6,19,20901-2107,T13,Rท่าลี่อ
G6,21,20901-2106,T05,R6301
G6,25,20901-2009,T08,R5101
G6,27,20901-8503,T18,R5201
G6,31,20901-2009,T08,R6302
G6,32,20901-2107,T13,R5204
G6,37,20901-2009,T08,R5402
G6,38,20901-2107,T13,R6402
G6,43,20001-1003,T15,R6301
G6,44,20901-8503,T18,R6404
G6,46,20901-2106,T05,R6201
G6,52,20901-2106,T05,R6204
G7,2,20000-1402,T17,R10401
G7,3,20901-2407,T13,R5203
G7,4,20000-1402,T17,R10401
G7,6,20901-9203,T08,R6203
G7,7,20901-2407,T13,R6204
G7,8,20901-2407,T13,R5401
G7,13,20000-1208,T16,Rท่าลี่อ
G7,14,20901-2408,T13,R5402
G7,16,20901-2406,T18,R5201
G7,18,20901-2407,T13,R5203
G7,21,20901-2408,T13,R6405
G7,25,20901-2408,T13,R6302
G7,26,20901-2406,T18,Rท่าลี่อ
G7,30,20901-9203,T08,R5105
G7,32,20000-2007,T18,R5101
G7,33,20901-8503,T18,R6303
G7,37,20001-1003,T15,R5306
G7,39,20901-9203,T08,R6302
G7,42,20901-8503,T18,R6403
G7,43,20901-2408,T13,R6201
G7,44,20901-2408,T13,R6303
G7,46,20001-1003,T15,R5101
G7,49,20001-1003,T15,R5203
G7,50,20901-2406,T18,R10401
G7,51,20000-1208,T16,R6204
G7,55,20901-2408,T13,Rท่าลี่อ
G7,58,20000-2007,T18,R6403
